pcode_region,pcode_region,region,id_007_district,pcode_district,district,id_008_community_name,community_code,pop_tot,pop_ad,pop_children,pop_admale,pop_adfemale,pop_girls,pop_boys,pop_ch_0_2,pop_ch_3_5,pop_ch_6_11,pop_ch_12_14,pop_ch_15_17,pop_girls_0_2,pop_girls_3_5,pop_girls_6_11,pop_girls_12_14,pop_girls_15_17,pop_boys_0_2,pop_boys_3_5,pop_boys_6_11,pop_boys_12_14,pop_boys_15_17,N_gch_kinderg,N_bch_kinderg,N_ch_kinderg,N_gch_prim,N_bch_prim,N_ch_prim,N_gch_jh,N_bch_jh,N_ch_jh,N_gch_sh,N_bch_sh,N_ch_sh,N_gch_voc,N_bch_voc,N_ch_voc,birth_cert,kinderg,kinderg_n,kinderg_c,kinderg_d,primary,primary_n,primary_c,primary_d,jhigh,jhigh_n,jhigh_c,jhigh_d,shigh,shigh_d,voc,voc_n,voc_c,voc_d,health_primary,distance to nearest primary healthcare centre,health_secondary,health_secondary_d,electricity,mobile,internet,road3,ngo,buycompany,cocoa_org,flead,mlead,lead,traingender,lead_pos,lead_mpos,lead_fpos,cap,revenue,revenue_forchild,ccpc,women_perc1,women_perc2,women_edu,women_percread,women_percnoed,men_edu,men_percread,men_percnoed,women_perccare,women_percchild05,women_percliv,women_percland,women_perclandcul,childprot,childrem,waterpoint,waterpoint_dist1,waterpoint_dist2,reducemeal,cocoa_landsize,cocoa_femalefarm,cocoa_malefarm,cocoa_farm,cocoa_prod1,cocoa_prod2,cocoa_prod3,cocoa_prod4,extserv,extserv_female,extserv_male,extserv_tot,input_av,input_af,casualwork_av,casualwork_cost,agrserv,CED_N_gch_prim,CED_N_bch_prim,CED_N_ch_prim,CED_N_ch_primotherc,CED_N_gch_prim1,CED_N_bch_prim1,CED_N_ch_prim1,CED_N_cl_prim1,CED_N_gch_prim2,CED_N_bch_prim2,CED_N_ch_prim2,CED_N_cl_prim2,CED_N_gch_prim3,CED_N_bch_prim3,CED_N_ch_prim3,CED_N_cl_prim3,CED_N_gch_prim4,CED_N_bch_prim4,CED_N_ch_prim4,CED_N_cl_prim4,CED_N_gch_prim5,CED_N_bch_prim5,CED_N_ch_prim5,CED_N_cl_prim5,CED_N_gch_prim6,CED_N_bch_prim6,CED_N_ch_prim6,CED_N_cl_prim6,CED_N_ch_js,CED_teacher,CED_class_prim,CED_gattend_prim1,CED_battend_prim1,CED_attend_prim1,CED_gattend_prim6,CED_battend_prim6,CED_attend_prim6,CED_gdropout_prim1,CED_bdropout_prim1,CED_dropout_prim1,CED_gdropout_prim6,CED_bdropout_prim6,CED_dropout_prim6,CED_ptratio_prim,CED_toilet_prim,CED_outofsch,CED_scholarship,CED_feed_prim,CED_Ncl_prim,lcommp_clab
16,CI20,Indénié-Djuablin,43,CI2001,Abengourou,EHUASSO ALLANGOUANOU,ABG007,3824,2181,1643,1071,1110,833,810,325,325,596,195,201,161,164,314,100,94,164,161,283,95,107,0,0,0,234,273,507,0,0,0,0,0,0,0,0,0,70-100,0,0,0,17,1,2,12,0,0,0,0,22,0,22,0,0,0,57,1,0,1,0,1,1,1,1,0,1,1,0,2,2,1,2,2,0,1,1,1,0,31-60,81-100,Primary 4-6,31-60,0-30,Primary 4-6,0-30,61-80,61-80,0-30,31-60,31-60,0-30,0,1,1,15,0,1,3,5,400,405,23,1.5,9315,608,1,10,20,30,1,0,0,,1,234,273,507,7,49,56,105,2,42,54,96,2,43,49,92,2,52,51,103,2,22,31,53,2,26,32,58,2,57,12,12,99.5,99.5,99.5,100,100,100,0,0.5,0.25,0,0,0,42,0,0,1,0,12,0.348306686
16,CI20,Indénié-Djuablin,43,CI2001,Abengourou,ETTIENKRO (ANIASSUE),ABG008,1428,800,628,400,400,316,312,153,129,240,58,49,75,64,121,32,24,78,64,119,26,25,0,0,0,30,30,60,0,0,0,0,0,0,0,0,0,70-100,0,0,0,1,0,0,0,1,0,0,0,1,0,21,0,0,0,21,1,0,0,21,1,1,1,1,0,0,0,0,0,0,1,2,2,0,0,1,1,0,0-30,81-100,Primary 1-3,0-30,61-80,Primary 1-3,0-30,61-80,61-80,61-80,31-60,0-30,31-60,0,1,1,30,0,1,2,3,150,153,15,1,2295,153,0,0,0,0,1,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,0,,0,0,0,0.395312756
16,CI20,Indénié-Djuablin,43,CI2001,Abengourou,M'BASSO AGNI,ABG009,2020,1010,1011,495,515,512,499,282,144,392,96,97,135,77,197,47,56,147,67,195,49,41,0,0,0,113,139,252,0,0,0,0,0,0,0,0,0,41-69,0,0,0,19,1,1,6,0,0,0,0,19,0,19,0,0,0,59,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-30,0-30,Primary 4-6,0-30,61-80,Primary 4-6,0-30,31-60,61-80,31-60,31-60,0-30,0-30,0,1,1,15,0,1,5,50,200,250,38,2.5,9500,625,0,0,0,0,0,0,1,3000,0,113,139,252,3,32,33,65,1,28,35,63,1,24,26,50,1,13,24,37,1,10,11,21,1,6,10,16,1,16,7,6,100,99,99.5,99,99,99,0,0,0,1,1,1,36,1,0,0,0,6,0.255933374
16,CI20,Indénié-Djuablin,43,CI2001,Abengourou,APOUESSOU,AGN003,813,428,387,200,228,194,193,86,68,167,32,33,42,35,82,18,17,44,33,85,14,17,0,0,0,41,43,84,0,0,0,0,0,0,0,0,0,70-100,0,0,0,25,1,1,3,0,0,0,0,25,0,50,0,0,0,50,0,25,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31-60,31-60,Junior High School,0-30,31-60,University,61-80,0-30,61-80,61-80,61-80,0-30,0-30,1,1,1,5,0,1,1,0,100,100,8,0.5,800,50,0,0,0,0,1,0,1,2000,0,56,62,118,0,15,19,34,1,10,13,23,0,9,16,25,1,0,0,0,0,22,14,36,1,0,0,0,0,0,4,3,85.59999847,90.31999969,87.95999908,0,0,0,0,0,0,0,0,0,30,0,0,0,0,3,0.150282204
14,CI30,Sud Comoé,37,CI3001,Aboisso,ABOULIE,ABS004,1998,1032,965,521,511,486,479,224,162,378,90,112,103,90,186,47,60,121,72,191,43,52,0,0,0,165,188,353,0,0,0,0,0,0,0,0,0,70-100,0,0,0,3,1,1,6,0,0,0,0,3,0,3,0,0,0,3,1,0,0,3,1,1,0,0,0,0,1,0,2,2,0,11,10,1,1,0,0,0,0-30,0-30,Primary 4-6,61-80,0-30,Senior High School,61-80,0-30,81-100,0-30,61-80,31-60,61-80,1,1,1,40,0,1,1,60,160,220,8,0.5,1760,110,1,10,40,50,1,0,1,2000,0,165,188,353,0,46,30,76,1,27,40,67,1,30,42,72,1,17,37,54,1,21,24,45,1,24,15,39,1,39,6,6,96,97.5,96.75,97.5,95.47000122,96.48999786,6.519999981,10,8.260000229,0,0,0,59,1,0,1,1,6,0.080042712
14,CI30,Sud Comoé,37,CI3001,Aboisso,BAKRO,ABS005,7228,3948,3280,2025,1923,1598,1682,544,831,1215,365,325,251,426,579,163,179,293,405,636,202,146,0,0,0,346,383,729,0,0,0,0,0,0,0,0,0,41-69,0,0,0,7,1,2,12,0,0,0,0,7,0,7,0,0,0,7,1,0,0,12,1,1,0,1,0,0,0,0,1,1,0,11,8,3,0,1,1,0,31-60,31-60,Junior High School,31-60,31-60,Senior High School,61-80,0-30,81-100,0-30,61-80,0-30,0-30,0,1,1,60,0,1,1.5,20,650,670,12,0.75,8040,503,1,6,24,30,1,0,1,2000,1,346,383,729,110,71,82,153,2,66,53,119,2,59,63,122,2,61,81,142,2,47,61,108,2,42,43,85,2,80,12,12,90.30000305,93.71499634,92.00999451,98.88499451,99.30500031,99.09500122,11.46000004,8.194999695,9.829999924,3.019999981,0.349999994,1.684999943,60.5,0,0,0,0,12,0.021506205
14,CI30,Sud Comoé,37,CI3001,Aboisso,KOUKOURANDOUMI,ABS006,1291,691,600,329,362,298,302,158,82,251,58,52,75,43,123,30,27,83,39,127,29,24,17,23,40,86,101,187,0,0,0,0,0,0,0,0,0,70-100,1,1,1,0,1,1,6,0,0,0,0,7,0,7,0,0,0,7,1,0,0,7,1,1,0,1,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0-30,0-30,Junior High School,61-80,0-30,University,61-80,0-30,81-100,0-30,61-80,31-60,31-60,0,1,1,10,0,0,1,5,53,58,8,0.5,464,29,1,0,11,11,1,0,0,,0,86,101,187,49,19,16,35,1,15,24,39,1,18,17,35,1,11,20,31,1,13,17,30,1,10,7,17,1,17,6,6,97.72000122,95.55999756,96.63999939,98.62999725,96.87000275,97.75,0,0,0,0,0,0,31,1,0,0,0,6,0
14,CI30,Sud Comoé,45,CI3002,Adiaké,ESSOUKPORETY,ADK001,4201,2354,1846,1177,1177,910,936,414,338,689,245,161,189,187,353,105,76,225,151,336,139,85,80,82,162,250,282,532,78,72,150,42,55,97,14,21,35,0-40,1,1,2,0,1,2,12,0,0,0,0,5,0,5,0,0,0,5,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,8,7,1,0,1,1,0,0-30,0-30,Junior High School,61-80,0-30,University,61-80,0-30,61-80,0-30,31-60,0-30,0-30,0,1,0,60,1,1,1,12,250,262,8,0.5,2096,131,0,0,0,0,1,0,1,1500,1,250,282,532,96,67,78,145,2,54,48,102,2,44,50,94,2,30,48,78,2,36,40,76,2,19,18,37,2,35,12,12,92.59500122,93.55000305,93.07499695,100,91.94000244,95.97000122,7.394999981,6.444999695,6.925000191,0,11.10999966,5.559999943,44.5,1,1,0,0,12,0
7,CI03,Agnéby-Tiassa,46,CI2401,Adzopé,ANNEPE,ADZ001,5343,3047,2295,1497,1550,1118,1177,483,566,821,208,217,215,285,390,99,129,268,280,431,110,88,43,49,92,314,384,698,95,111,206,69,88,157,0,0,0,0-40,1,2,3,0,1,3,17,0,1,1,2,0,0,39,0,0,0,39,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,41,32,9,1,1,1,0,0-30,0-30,Primary 4-6,31-60,31-60,Vocational/technical,0-30,61-80,81-100,0-30,31-60,61-80,61-80,0,1,1,5,0,1,1,60,800,860,8,0.5,6880,430,1,11,21,32,1,0,1,1500,1,314,384,698,0,63,76,139,3,65,59,124,3,66,82,148,3,58,60,118,3,28,56,84,2,34,51,85,3,61,17,17,91.82333374,93.73999786,92.78333282,93.33333588,97.43000031,95.3833313,8.510000229,4.610000134,6.559999943,5.009999752,2.786666632,3.896666765,40.33333206,1,0,1,0,17,0.389464766
7,CI03,Agnéby-Tiassa,46,CI2401,Adzopé,DJOUGBOSSO,ADZ002,1181,664,518,329,335,262,256,112,121,187,43,53,52,64,99,18,29,61,57,89,25,24,0,0,0,92,82,174,60,40,100,15,10,25,0,0,0,41-69,0,0,0,9,1,1,6,0,0,0,0,9,0,9,0,0,0,12,0,13,0,13,0,0,0,0,0,0,0,0,1,1,1,22,17,5,0,0,0,0,0-30,0-30,Senior High School,31-60,31-60,Vocational/technical,61-80,31-60,81-100,0-30,0-30,31-60,0-30,0,1,1,50,0,1,1,50,150,200,8,0.5,1600,100,1,6,24,30,1,0,1,1500,0,92,82,174,0,15,17,32,1,16,10,26,1,20,21,41,1,13,7,20,1,14,14,28,1,14,13,27,1,22,6,6,100,100,100,92.84999847,92.30000305,92.58000183,0,0,0,7.139999866,7.690000057,7.420000076,29,0,0,0,0,6,0.100083463
